Date Range,Day of Week,Holiday,Month,Servicetype,Station,Time Period,Year,Avg Daily Entries Rounded,Avg Daily Exits Rounded,Entries,Exits
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Braddock Road,PM Peak (3pm-7pm),2023,0.08K,0K,77,143
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Eisenhower Ave,PM Peak (3pm-7pm),2023,0.09K,0K,85,88
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Huntington,PM Peak (3pm-7pm),2023,0.13K,0K,131,251
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Smithsonian,PM Peak (3pm-7pm),2023,0.55K,0K,545,167
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Federal Triangle,PM Peak (3pm-7pm),2023,0.56K,0K,564,73
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Metro Center,PM Peak (3pm-7pm),2023,1.17K,0K,1174,405
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Columbia Heights,PM Peak (3pm-7pm),2023,0.77K,0K,772,487
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Glenmont,PM Peak (3pm-7pm),2023,0.09K,0K,94,257
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Silver Spring,PM Peak (3pm-7pm),2023,0.32K,0K,322,459
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Wheaton,PM Peak (3pm-7pm),2023,0.11K,0K,106,163
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Forest Glen,PM Peak (3pm-7pm),2023,0.09K,0K,87,83
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Takoma,PM Peak (3pm-7pm),2023,0.27K,0K,270,232
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,U Street,PM Peak (3pm-7pm),2023,0.24K,0K,243,272
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Georgia Ave-Petworth,PM Peak (3pm-7pm),2023,0.31K,0K,307,255
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Shaw-Howard U,PM Peak (3pm-7pm),2023,0.37K,0K,369,174
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,L'Enfant Plaza,PM Peak (3pm-7pm),2023,1.34K,0K,1338,491
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Archives,PM Peak (3pm-7pm),2023,0.56K,0K,561,125
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Gallery Place,PM Peak (3pm-7pm),2023,1.02K,1K,1024,620
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Mt Vernon Sq,PM Peak (3pm-7pm),2023,0.34K,0K,336,228
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Fort Totten,PM Peak (3pm-7pm),2023,0.49K,1K,490,679
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Waterfront,PM Peak (3pm-7pm),2023,0.26K,0K,261,194
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Federal Center SW,PM Peak (3pm-7pm),2023,0.28K,0K,280,70
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Judiciary Square,PM Peak (3pm-7pm),2023,0.50K,0K,503,93
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Navy Yard-Ballpark,PM Peak (3pm-7pm),2023,0.72K,0K,720,339
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,West Hyattsville,PM Peak (3pm-7pm),2023,0.11K,0K,110,236
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Capitol South,PM Peak (3pm-7pm),2023,0.49K,0K,492,166
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Hyattsville Crossing,PM Peak (3pm-7pm),2023,0.13K,0K,127,205
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Union Station,PM Peak (3pm-7pm),2023,0.97K,1K,971,1124
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Rhode Island Ave,PM Peak (3pm-7pm),2023,0.25K,0K,245,354
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,NoMa-Gallaudet U,PM Peak (3pm-7pm),2023,0.76K,0K,764,366
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Brookland-CUA,PM Peak (3pm-7pm),2023,0.34K,0K,336,263
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Eastern Market,PM Peak (3pm-7pm),2023,0.16K,0K,162,271
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,College Park-U of Md,PM Peak (3pm-7pm),2023,0.09K,0K,88,110
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Anacostia,PM Peak (3pm-7pm),2023,0.30K,0K,296,259
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Potomac Ave,PM Peak (3pm-7pm),2023,0.11K,0K,107,149
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Greenbelt,PM Peak (3pm-7pm),2023,0.09K,0K,86,177
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Congress Heights,PM Peak (3pm-7pm),2023,0.17K,0K,171,161
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Southern Ave,PM Peak (3pm-7pm),2023,0.11K,0K,109,223
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Stadium-Armory,PM Peak (3pm-7pm),2023,0.13K,0K,125,86
9/12/2023 12:00:00 AM,Tuesday,No,September,Weekday,Naylor Road,PM Peak (3pm-7pm),2023,0.03K,0K,34,90
