id,lon,lat
9547731880,-77.0187435,38.9169823
6918498820,-77.041524,38.911839
6775504504,-76.98918479999999,38.8391277
49736143,-77.075812,38.913717
49749418,-77.012642,38.921306
7961818314,-76.9889847,38.832339
5445845818,-76.9803195,38.9047705
49815138,-77.0420896,38.96048
655447354,-76.9902426,38.8844841
2291879061,-77.00264729999999,38.872721399999996
49745709,-76.9689693,38.871527
5018686331,-76.9392049,38.891971399999996
49792674,-77.0106844,38.8452796
6775892147,-77.0225526,38.8863294
8394567409,-77.0282533,38.8858776
49748608,-77.0097092,38.8973432
11104619405,-77.0371715,38.9057348
49852461,-77.0551803,38.8821264
49727004,-77.02698099999999,38.824349
5445781399,-76.97568249999999,38.9125987
6538588777,-76.9776114,38.9464111
3012429004,-77.0218206,38.8987317
49743118,-77.0885412,38.9098833
641068153,-77.05295319999999,38.8914733
1479847641,-76.9334733,38.8944579
11057970108,-77.0049865,38.9089607
5448512142,-77.0366767,38.9222992
7005412314,-77.0665503,38.9137315
9727979232,-77.0010613,38.8881428
8776517198,-77.0217888,38.9169664
49754737,-77.0391958,38.9482673
610608392,-77.0315878,38.9058564
8254155843,-77.0378253,38.8961173
11079162347,-77.042929,38.9162514
5277583285,-76.9618175,38.890448299999996
1506916776,-77.0046428,38.8491649
10092398256,-77.0771032,38.9067919
11009653999,-77.0435464,38.9057457
5120959808,-77.03651459999999,38.9601651
5438044339,-77.01272519999999,38.968008
10102399450,-76.9962843,38.9314447
5441147211,-77.0056254,38.894162
299773956,-77.0433443,38.8304463
3781487673,-77.02607689999999,38.9418669
8413475941,-77.01489889999999,38.942757799999995
8267401240,-77.0220275,38.894065399999995
9731151731,-76.9808552,38.882895
3394661028,-76.98466499999999,38.9371128
49894236,-77.03351599999999,38.8747629
8666494971,-76.9476421,38.9042409
8487815641,-77.03713669999999,38.8808588
10649528421,-77.0149866,38.9731374
8487758581,-77.0371839,38.8808465
2995265434,-77.0163508,38.8948227
8661117906,-77.01747209999999,38.8889715
4978338319,-77.0973729,38.9456275
7885198555,-77.0168946,38.877197699999996
9049398264,-77.0326032,38.943996
5442032021,-77.03073069999999,38.8958905
49759828,-77.02874899999999,38.9661404
247130321,-77.0445982,38.9527797
5445184382,-77.0706502,38.952096
7400503188,-77.0026096,38.889139199999995
5446812585,-77.01826369999999,38.9133995
